"90","RELIEVE C.A.","1","FLA-1813-A","FLA-SPRAY METALIC GOLD","514","SPRAY","2" 
"95","RELIEVE ORIENTE C.A.","3","FLA-601-001-53","ENVASE VACIO TAMBORES","601","ENVASES","3" 
"95","RELIEVE ORIENTE C.A.","3","FLA-70-017-1","FLA-WALL MALVA","505","PINTURAS CAUCHOS","7" 
"95","RELIEVE ORIENTE C.A.","3","FLA-70-061-1","FLA WALL VERDE BAMBU","505","PINTURAS CAUCHOS","12" 
"95","RELIEVE ORIENTE C.A.","3","FLA-70-11-1","FLA-WALL BLANCO","505","PINTURAS CAUCHOS","4" 
"95","RELIEVE ORIENTE C.A.","3","FLA-70-12-1","FLA-WALL BLANCO OSTRA","505","PINTURAS CAUCHOS","4" 
"95","RELIEVE ORIENTE C.A.","3","FLA-70-21-1","FLA-WALL BEIGE SAHARA","505","PINTURAS CAUCHOS","4" 
"95","RELIEVE ORIENTE C.A.","3","FLA-70-2137T-1","FLA-WALL ALBARICOQUE","505","PINTURAS CAUCHOS","14" 
"95","RELIEVE ORIENTE C.A.","3","FLA-70-2340P-1","FLA-WALL SWEET LAVANDER","505","PINTURAS CAUCHOS","8" 
"95","RELIEVE ORIENTE C.A.","3","FLA-70-2437P-1","FLA-WALL DELPHI","505","PINTURAS CAUCHOS","7" 
"95","RELIEVE ORIENTE C.A.","3","FLA-70-2482D-1","FLA-WALL VERDE CARIBE","505","PINTURAS CAUCHOS","8" 
"95","RELIEVE ORIENTE C.A.","3","FLA-70-2497C-1","FLA-WALL OCEANO","505","PINTURAS CAUCHOS","12" 
"95","RELIEVE ORIENTE C.A.","3","FLA-71-43-1","FLA-SPORT ROJO","506","PINTURAS EPOXICOS","8" 
"95","RELIEVE ORIENTE C.A.","3","FLA-740-F200-1","FLA-CRIL AMARILLO CROMO","500","PINTURAS ACRILICAS","4" 
"95","RELIEVE ORIENTE C.A.","3","FLA-740-F800-1","FLA-CRYL NEGRO","500","PINTURAS ACRILICAS","20" 
"95","RELIEVE ORIENTE C.A.","3","REG-359-105-1","CAUCHO PROF.BLANCO OSTRA","505","PINTURAS CAUCHOS","10" 
"95","RELIEVE ORIENTE C.A.","3","REG-359-114-1","ROSADO JUVENTUD","505","PINTURAS CAUCHOS","4" 
"95","RELIEVE ORIENTE C.A.","3","REG-359-116-1","REG CAUCHO AZUL BOREAL","505","PINTURAS CAUCHOS","4" 
"95","RELIEVE ORIENTE C.A.","3","REG-359-121-1","CAUCHO PROFESIONAL DURAZNO SUA","505","PINTURAS CAUCHOS","16" 
"95","RELIEVE ORIENTE C.A.","3","REG-359-140-1","CAUCHO PROF TERRACOTA","505","PINTURAS CAUCHOS","32" 
"95","RELIEVE ORIENTE C.A.","3","REG-359-161-1","CAUCHO REGIONAL MANZANA","505","PINTURAS CAUCHOS","11" 
"95","RELIEVE ORIENTE C.A.","3","REG-359-162-1","CAUCHO PROFESIONAL VERDE GALA","505","PINTURAS CAUCHOS","46" 
"95","RELIEVE ORIENTE C.A.","3","REG-359-180-1","CAUCHO REGIONAL GRIS CONCRETO","505","PINTURAS CAUCHOS","12" 
"95","RELIEVE ORIENTE C.A.","3","REG-501-028-4","REGIONAL ESMALTE SALMON","507","PINTURAS ESMALTES","6" 
"95","RELIEVE ORIENTE C.A.","3","REG-535-030-4","ESMALTE ROSADO","507","PINTURAS ESMALTES","5" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-026F208-1","ARMONIA SUPER ESMA.ARAGUANEY 1","507","PINTURAS ESMALTES","10.25" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-026F620-1","ARMONIA SUPER ESMALTE GRIS OSC","507","PINTURAS ESMALTES","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-026F701-4","SUPER ESMALTE ENCINA","507","PINTURAS ESMALTES","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-072F101-1","ARMONIA INTERIOR BLANCO","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-072F105-1","ARMONIA INTERIOR BLANCO OSTRA","505","PINTURAS CAUCHOS","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-072F113-1","ARMONIA INTERIOR ROSA SERENA","505","PINTURAS CAUCHOS","6" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-072F140-1","ARMONIA INTERIOR MARFIL SUAVE","505","PINTURAS CAUCHOS","7" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-072F142-1","ARMONIA INTERIOR DURAZNO TIERN","505","PINTURAS CAUCHOS","7" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-072F2026T-1","ARMONIA INTERIOR RAYO SOLAR","505","PINTURAS CAUCHOS","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-072F2069D-1","ARMONIA INTERIOR MANDARINA","505","PINTURAS CAUCHOS","2" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-072F214-1","ARMONIA INTERIOR MELON CLARO","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-072F3003P-1","ARMONIA INTERIOR BARILOCHE","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-072F600-1","ARMONIA INTERIOR VEREDA","505","PINTURAS CAUCHOS","5" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-085F010-1","ARMONIA SATINADO BCO. DURAZNO","505","PINTURAS CAUCHOS","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-085F015-1","SATINADO  RAFIA","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-085F080-1","ARMONIA SATINADO VERDE CRISTAL","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-085F2043P-1","ARMONIA SATINADO BRILLO DORADO","505","PINTURAS CAUCHOS","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-085F2185P-1","ARMONIA SATINADO SE/ORITA","505","PINTURAS CAUCHOS","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-085F2417T-1","ARMONIA SATINADO AZUL LLUVIA","505","PINTURAS CAUCHOS","3" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-085F2436P-1","ARMONIA SATINADO ARBELA","505","PINTURAS CAUCHOS","10" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-085F2503D-1","ARMONIA SATINADO VERDE BERILO","505","PINTURAS CAUCHOS","5" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-582F100-1","ARMONIA EXTERIOR BLANCO","505","PINTURAS CAUCHOS","3" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-582F101-1","BASE EXTERIOR COLORES CLAROS","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-582F104-1","BASE EXTERIOR COLORES NEUTRO","505","PINTURAS CAUCHOS","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-582F105-1","BASE EXTERIOR COLORES OSCUROS","505","PINTURAS CAUCHOS","11" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-582F2040T-1","ARMONIA EXTERIOR CROCUS","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-582F210-1","ARMONIA EXTERIOR CREMA ANTE","505","PINTURAS CAUCHOS","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-582F2109T-1","ARMONIA EXTERIOR ROSA TE","505","PINTURAS CAUCHOS","3" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-582F244-1","ARMONIA EXTERIOR BAMBU","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-582F2476C-1","ARMONIA EXTERIOR MAR","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-582F2805C-1","ARMONIA EXTERIOR AVELLANA","505","PINTURAS CAUCHOS","2" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","ARM-582F389-1","ARMONIA EXTERIOR ROJO PETALO","505","PINTURAS CAUCHOS","4" 
